loan_id,age,gender,job_title,annual_income,loan_amount,loan_purpose,credit_score,number_of_dependents,applicant_statement,loan_status,sentiment,text_risk_prob,text_risk,annual_income_safe,loan_to_income_ratio,sentiment_risk,credit_risk,lti_risk,dependents_risk,purpose_risk,risk_score,risk_category,loan_intent
L1718,52,Female,Doctor,230000,75000,Medical,855,1,Funding the acquisition of cutting-edge diagnostic imaging equipment for the clinic.,1,Neutral,0.4861876964569092,1,230000,0.3260869565217391,1,0,1,1,1,7,Medium,Business/Investment
L1719,26,Male,Retail Manager,54000,18000,Business,688,2,Need capital for an aggressive marketing push for a new product launch.,0,Neutral,0.6323974132537842,1,54000,0.3333333333333333,1,2,1,1,1,13,High,Business/Investment
L1720,60,Female,Accountant,110000,25000,Education,775,1,Paying off the final segment of my advanced CPA specialization loan.,1,Neutral,0.5182998180389404,1,110000,0.2272727272727272,1,0,1,1,1,7,Medium,Business/Investment
L1721,33,Male,Electrician,86000,22000,Home,720,1,Financing the replacement of the entire exterior siding and trim.,1,Neutral,0.5279219746589661,1,86000,0.2558139534883721,1,1,1,1,0,9,Medium,Personal/Lifestyle
L1722,48,Female,Scientist,168000,48000,Business,828,1,Investment in specialized automated environmental testing chambers.,1,Neutral,0.5537421107292175,1,168000,0.2857142857142857,1,0,1,1,1,7,Medium,Business/Investment
L1723,21,Male,Dishwasher,25000,5000,Personal,532,0,I have defaulted on several small loans recently and need this cash to stop collection calls. I feel completely hopeless and panicked.,0,Very Negative,0.5871910452842712,1,25000,0.2,1,3,0,0,2,14,High,Personal/Lifestyle
L1724,54,Female,Teacher,82000,20000,Medical,755,1,Covering costs for my spouse's specialized neurological evaluation.,1,Neutral,0.550363302230835,1,82000,0.2439024390243902,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1725,36,Male,Software Developer,138000,39000,Personal,808,1,"Need liquidity to execute a timely, low-risk investment in a private company.",1,Neutral,0.0246667228639125,0,138000,0.2826086956521739,1,0,1,1,2,6,Medium,Business/Investment
L1726,44,Female,Manager,118000,30000,Home,785,1,Financing a major upgrade to the home's central air conditioning system for efficiency.,1,Positive,0.4722645878791809,1,118000,0.2542372881355932,0,0,1,1,0,5,Low,Personal/Lifestyle
L1727,29,Male,Bartender,42000,9500,Education,625,0,"I need this for mandatory safety training for a better job, but I have zero savings right now. I feel like this is an impossible hurdle.",0,Very Negative,0.4472980499267578,1,42000,0.2261904761904762,1,3,1,0,1,15,High,Personal/Lifestyle
L1728,62,Female,Retired,78000,14000,Personal,798,1,Funding a subscription to a premium financial planning service.,1,Neutral,0.4644749164581299,1,78000,0.1794871794871795,1,0,0,1,2,6,Medium,Business/Investment
L1729,35,Male,Sales Manager,98000,25000,Business,745,1,Investment in next-generation CRM software licenses.,1,Neutral,0.5451622605323792,1,98000,0.2551020408163265,1,1,1,1,1,10,Medium,Business/Investment
L1730,24,Female,Clerk,34000,7000,Medical,610,0,I need this money for a critical prescription refill; I've been rationing my dosage because I couldn't afford the cost. I'm scared.,0,Negative,0.58151775598526,1,34000,0.2058823529411764,2,3,1,0,1,16,High,Basic Needs/Survival
L1731,49,Male,Engineer,150000,52000,Home,822,1,"Securing financing for the construction of a large, detached workshop/garage.",1,Neutral,0.5013878345489502,1,150000,0.3466666666666667,1,0,1,1,0,6,Medium,Business/Investment
L1732,57,Female,HR Director,130000,35000,Education,805,1,Sponsoring employee travel to a national HR best practices summit.,1,Neutral,0.4320610463619232,1,130000,0.2692307692307692,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1733,32,Male,Truck Driver,78000,20000,Personal,682,3,"Need funds to cover unexpected, high insurance premium increases for commercial vehicle coverage.",0,Negative,0.8069109320640564,2,78000,0.2564102564102564,2,2,1,2,2,18,High,Basic Needs/Survival
L1734,46,Female,Nurse,93000,23000,Medical,758,1,Funding specialized training in advanced cardiac life support.,1,Neutral,0.5401021838188171,1,93000,0.2473118279569892,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1735,20,Male,Security Guard,30000,5500,Education,550,0,I must pay my final registration fee or I lose my scholarship eligibility. I have no other options.,0,Neutral,0.5321629047393799,1,30000,0.1833333333333333,1,3,0,0,1,13,High,Personal/Lifestyle
L1736,64,Female,Professor,125000,18000,Business,800,1,Small capital infusion to support a graduate student's dissertation research travel.,1,Neutral,0.477631151676178,1,125000,0.144,1,0,0,1,1,5,Low,Personal/Lifestyle
L1737,39,Male,Mechanic,72000,20000,Home,705,3,Emergency replacement of the main water service line leading to the house.,0,Neutral,0.5804776549339294,1,72000,0.2777777777777778,1,1,1,2,0,10,Medium,Basic Needs/Survival
L1738,47,Female,Accountant,108000,29000,Education,785,1,Financing advanced training in global regulatory compliance.,1,Neutral,0.5170949697494507,1,108000,0.2685185185185185,1,0,1,1,1,7,Medium,Business/Investment
L1739,27,Male,Warehouse Associate,44000,11000,Personal,620,2,Need to pay off a high-interest collection agency debt before it damages my credit score further. Trying to be responsible.,0,Negative,0.6876466870307922,2,44000,0.25,2,3,1,1,2,20,High,Personal/Lifestyle
L1740,51,Female,Executive,205000,58000,Home,848,1,Securing financing for the acquisition of a high-yield rental property.,1,Neutral,0.5419615507125854,1,205000,0.2829268292682926,1,0,1,1,0,6,Medium,Business/Investment
L1741,34,Male,Data Entry Clerk,48000,9500,Education,650,1,Paying for a professional certification in advanced IT network security.,0,Neutral,0.4762945771217346,1,48000,0.1979166666666666,1,2,0,1,1,11,High,Personal/Lifestyle
L1742,59,Female,Manager,126000,31000,Business,792,1,Acquisition of specialized machinery for enhanced production quality control.,1,Neutral,0.5073915719985962,1,126000,0.246031746031746,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1743,23,Male,Waiter,33000,7500,Personal,590,1,Need funds to cover the security deposit for a new apartment that is safer for my family.,0,Neutral,0.5619264245033264,1,33000,0.2272727272727272,1,3,1,1,2,17,High,Personal/Lifestyle
L1744,42,Female,Librarian,62000,16000,Medical,735,2,Covering costs for my spouse's specialized physical therapy.,1,Neutral,0.5433701872825623,1,62000,0.2580645161290322,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1745,46,Male,Sales Director,122000,38000,Home,815,1,Financing the installation of a commercial-grade rainwater harvesting system.,1,Neutral,0.507190465927124,1,122000,0.3114754098360656,1,0,1,1,0,6,Medium,Business/Investment
L1746,31,Female,Nurse,79000,18000,Education,760,1,Paying for advanced certification in emergency room protocols.,1,Neutral,0.5174250602722168,1,79000,0.2278481012658227,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1747,53,Male,Scientist,172000,50000,Business,830,1,Purchasing a new high-speed computing cluster for complex modeling.,1,Neutral,0.4926260411739349,1,172000,0.2906976744186046,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1748,28,Female,Graphic Designer,72000,17000,Personal,710,2,Need funds to cover unexpected legal defense costs related to a freelance project.,1,Neutral,0.62723308801651,1,72000,0.2361111111111111,1,1,1,1,2,11,High,Personal/Lifestyle
L1749,66,Male,Retired,84000,12000,Medical,818,1,Covering costs for a necessary dental implant procedure.,1,Neutral,0.519364058971405,1,84000,0.1428571428571428,1,0,0,1,1,5,Low,Basic Needs/Survival
L1750,37,Female,Teacher,74000,21000,Education,745,1,Funding a research sabbatical focused on innovative pedagogy.,1,Neutral,0.4897561073303222,1,74000,0.2837837837837837,1,1,1,1,1,10,Medium,Business/Investment
L1751,40,Male,Accountant,103000,26000,Home,775,2,Need funds for emergency repair of the main chimney stack due to structural issues.,0,Neutral,0.6327762603759766,1,103000,0.2524271844660194,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1752,22,Female,Receptionist,38000,6500,Personal,602,0,"I need this money to pay my rent immediately; my paycheck was delayed, and I face eviction. I am truly panicked.",0,Very Negative,0.6129743456840515,1,38000,0.1710526315789473,1,3,0,0,2,14,High,Personal/Lifestyle
L1753,50,Male,Engineer,148000,48000,Business,818,1,Acquisition of proprietary robotics for quality assurance testing.,1,Neutral,0.4687448441982269,1,148000,0.3243243243243243,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1754,45,Female,HR Manager,110000,23000,Education,785,1,Sponsoring employee travel to a national leadership development seminar.,1,Neutral,0.4665886759757995,1,110000,0.209090909090909,1,0,1,1,1,7,Medium,Business/Investment
L1755,33,Male,Construction Worker,64000,19000,Personal,655,3,Need funds to cover the unexpected cost of specialized concrete pouring for a custom foundation.,0,Neutral,0.629554271697998,1,64000,0.296875,1,2,1,2,2,15,High,Business/Investment
L1756,58,Female,Administrator,94000,21000,Medical,770,2,Covering costs for an extended physical therapy regimen following a minor procedure.,1,Neutral,0.4886070489883423,1,94000,0.2234042553191489,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1757,25,Male,Electrician Apprentice,45000,15000,Business,645,0,I overextended my credit buying specialized tools based on a projected large contract that fell through. I'm in trouble.,0,Negative,0.6544983386993408,1,45000,0.3333333333333333,2,3,1,0,1,16,High,Business/Investment
L1758,48,Female,Doctor,240000,78000,Home,862,1,Financing the installation of a professional-grade home security and surveillance system.,1,Neutral,0.4891893565654754,1,240000,0.325,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1759,30,Male,Software Engineer,130000,38000,Education,800,1,Aggressively paying off the final segment of my enterprise architecture master's degree.,1,Negative,0.613828718662262,1,130000,0.2923076923076923,2,0,1,1,1,8,Medium,Business/Investment
L1760,61,Female,Retired,62000,10000,Personal,780,1,Funding an extended trip to visit aging relatives overseas.,1,Neutral,0.5098593235015869,1,62000,0.1612903225806451,1,0,0,1,2,6,Medium,Personal/Lifestyle
L1761,21,Male,Security Guard,31000,7000,Personal,560,0,I owe money to an aggressive debt collector and need this cash immediately to settle the account and stop harassing calls. I'm genuinely scared.,0,Negative,0.6146595478057861,1,31000,0.2258064516129032,2,3,1,0,2,17,High,Personal/Lifestyle
L1762,44,Female,Teacher,84000,20000,Medical,760,1,Covering costs for my child's specialized speech therapy program.,1,Neutral,0.5130113959312439,1,84000,0.238095238095238,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1763,38,Male,Truck Driver,88000,24000,Home,685,3,Need funds for emergency replacement of the garage foundation due to soil instability.,0,Neutral,0.6706597805023193,2,88000,0.2727272727272727,1,2,1,2,0,15,High,Basic Needs/Survival
L1764,52,Female,Financial Analyst,168000,46000,Business,825,1,Investment in a diversified portfolio of private infrastructure bonds.,1,Neutral,0.5119872689247131,1,168000,0.2738095238095238,1,0,1,1,1,7,Medium,Business/Investment
L1765,28,Male,Photographer,52000,12000,Education,670,1,Purchasing advanced cinematography equipment necessary for securing high-end commercial video jobs.,0,Neutral,0.5571520328521729,1,52000,0.2307692307692307,1,2,1,1,1,13,High,Personal/Lifestyle
L1766,55,Female,Manager,120000,27000,Personal,805,1,"Funding a major, high-value personal investment in fine art.",1,Positive,0.5744262933731079,1,120000,0.225,0,0,1,1,2,7,Medium,Personal/Lifestyle
L1767,32,Male,Carpenter,69000,18000,Home,705,2,"Replacing old, failing exterior decking and railing system for safety reasons.",1,Negative,0.4175383150577545,1,69000,0.2608695652173913,2,1,1,1,0,10,Medium,Basic Needs/Survival
L1768,49,Female,Nurse,102000,26000,Medical,778,1,Financing advanced training in pediatric pain management techniques.,1,Neutral,0.5108419060707092,1,102000,0.2549019607843137,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1769,24,Male,Fast Food Worker,29000,5000,Personal,560,0,"I need this money immediately to cover my car insurance premium; if I drive uninsured, I risk losing my job. I'm desperate.",0,Negative,0.931284248828888,2,29000,0.1724137931034483,2,3,0,0,2,17,High,Basic Needs/Survival
L1770,60,Female,Librarian,73000,14000,Education,762,1,Funding a major upgrade to the library's digital media lab resources.,1,Neutral,0.481412798166275,1,73000,0.1917808219178082,1,0,0,1,1,5,Low,Personal/Lifestyle
L1771,36,Male,Sales Representative,92000,23000,Business,735,1,Need capital for a significant increase in sales staff training and onboarding.,1,Neutral,0.7103511691093445,2,92000,0.25,1,1,1,1,1,12,High,Business/Investment
L1772,41,Female,Accountant,106000,28000,Home,782,2,Financing a major upgrade to the home's plumbing infrastructure and fixtures.,1,Positive,0.508520781993866,1,106000,0.2641509433962264,0,0,1,1,0,5,Low,Personal/Lifestyle
L1773,29,Male,Bartender,43000,9800,Personal,620,0,I have several overdue small debts that are threatening my credit rating; I need this to consolidate and regain control. I feel so anxious.,0,Negative,0.683397650718689,2,43000,0.227906976744186,2,3,1,0,2,19,High,Basic Needs/Survival
L1774,53,Female,Professor,132000,40000,Education,820,1,Funding a multi-year research partnership with an international university.,1,Neutral,0.4820568263530731,1,132000,0.303030303030303,1,0,1,1,1,7,Medium,Business/Investment
L1775,47,Male,Pilot,200000,58000,Business,838,1,Acquisition of next-generation flight performance telemetry systems.,1,Neutral,0.5107322931289673,1,200000,0.29,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1776,35,Female,Software Developer,122000,35000,Personal,795,1,Need short-term liquidity while waiting for a large enterprise contract payment to clear.,1,Neutral,0.5090789198875427,1,122000,0.2868852459016393,1,0,1,1,2,8,Medium,Business/Investment
L1777,23,Male,Delivery Driver,37000,8500,Medical,610,1,Covering the cost of specialized physical therapy for a recurring back issue that affects my work.,0,Neutral,0.6519256830215454,1,37000,0.2297297297297297,1,3,1,1,1,16,High,Personal/Lifestyle
L1778,56,Female,Doctor,235000,80000,Home,860,1,Financing the installation of a state-of-the-art geothermal heating system.,1,Neutral,0.3013064563274383,0,235000,0.3404255319148936,1,0,1,1,0,4,Low,Basic Needs/Survival
L1779,30,Male,Graphic Designer,72000,19000,Business,715,2,Need to hire a specialized UX/UI consultant for a major redesign project.,1,Neutral,0.5412967205047607,1,72000,0.2638888888888889,1,1,1,1,1,10,Medium,Business/Investment
L1780,62,Female,Retired,69000,11000,Medical,792,1,Covering costs for ongoing specialized dietary consultation.,1,Neutral,0.5165790915489197,1,69000,0.1594202898550724,1,0,0,1,1,5,Low,Basic Needs/Survival
L1781,38,Male,Accountant,101000,24000,Education,770,1,Paying for advanced certification in forensic data auditing.,1,Neutral,0.4818827509880066,1,101000,0.2376237623762376,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1782,26,Female,Retail Associate,43000,11000,Personal,640,0,I am behind on my minimum credit card payments and need this loan to avoid severe penalties next month. I am desperate for breathing room.,0,Negative,0.635001540184021,1,43000,0.2558139534883721,2,3,1,0,2,17,High,Personal/Lifestyle
L1783,49,Male,Engineer,155000,49000,Business,828,1,"Investment in specialized, high-precision machining tools.",1,Neutral,0.532021701335907,1,155000,0.3161290322580645,1,0,1,1,1,7,Medium,Business/Investment
L1784,54,Female,Manager,121000,29000,Home,798,1,Financing a comprehensive upgrade to the home's septic and drainage system.,1,Neutral,0.5149025917053223,1,121000,0.2396694214876033,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1785,31,Male,Plumber,75000,17000,Personal,700,2,Need funds to cover the cost of specialized commercial pipe inspection camera rental.,0,Neutral,0.5614039897918701,1,75000,0.2266666666666666,1,1,1,1,2,11,High,Basic Needs/Survival
L1786,42,Female,Teacher,78000,18000,Education,750,1,Funding specialized training for teachers in advanced robotics instruction.,1,Neutral,0.5133401155471802,1,78000,0.2307692307692307,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1787,25,Male,Cashier,34000,7500,Medical,598,0,I need this money immediately to cover an overdue ambulance bill that is heading to collections. I am genuinely stressed.,0,Negative,0.5871421694755554,1,34000,0.2205882352941176,2,3,1,0,1,16,High,Personal/Lifestyle
L1788,57,Female,Scientist,182000,51000,Business,840,1,Acquisition of a new high-performance liquid chromatograph.,1,Neutral,0.5301194787025452,1,182000,0.2802197802197802,1,0,1,1,1,7,Medium,Business/Investment
L1789,33,Male,Truck Driver,80000,22000,Personal,678,3,"Need capital to cover mandatory, unexpected roadside assistance service fees.",0,Negative,0.6635013818740845,2,80000,0.275,2,2,1,2,2,18,High,Basic Needs/Survival
L1790,46,Female,HR Specialist,97000,25000,Home,765,1,Financing a major upgrade to the home's exterior paint and sealing.,1,Positive,0.5019553303718567,1,97000,0.2577319587628865,0,0,1,1,0,5,Low,Personal/Lifestyle
L1791,20,Male,Student,24000,4500,Education,550,0,"I need this for my final certification exam fee, or I fail the course; I have no other way to pay. I feel stuck.",0,Negative,0.5000482201576233,1,24000,0.1875,2,3,0,0,1,14,High,Basic Needs/Survival
L1792,50,Female,Doctor,218000,62000,Medical,855,1,Funding the purchase of a high-resolution diagnostic ultrasound system.,1,Neutral,0.4932789504528045,1,218000,0.2844036697247706,1,0,1,1,1,7,Medium,Business/Investment
L1793,39,Male,Real Estate Agent,104000,28000,Business,742,1,Capital for aggressive marketing of new commercial properties.,1,Neutral,0.6022213101387024,1,104000,0.2692307692307692,1,1,1,1,1,10,Medium,Business/Investment
L1794,64,Female,Retired,75000,14000,Personal,802,1,Covering costs for an essential home accessibility modification.,1,Neutral,0.5292170643806458,1,75000,0.1866666666666666,1,0,0,1,2,6,Medium,Basic Needs/Survival
L1795,28,Male,Warehouse Worker,45000,11000,Education,630,1,Paying for specialized certification in automated warehouse management systems.,0,Neutral,0.4950941503047943,1,45000,0.2444444444444444,1,3,1,1,1,16,High,Personal/Lifestyle
L1796,43,Female,Project Manager,120000,31000,Education,792,1,Sponsoring my child's specialized international arts program tuition.,1,Neutral,0.5246294140815735,1,120000,0.2583333333333333,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1797,51,Male,Mechanic,78000,18000,Business,720,2,Need funds to purchase a specialized diagnostic tool for electric vehicles.,1,Neutral,0.5960134267807007,1,78000,0.2307692307692307,1,1,1,1,1,10,Medium,Basic Needs/Survival
L1798,26,Female,Barista,37000,7500,Personal,600,0,"My car insurance just lapsed, and I need this cash immediately to pay the reinstatement fee, or I can't drive to work.",0,Negative,0.587172269821167,1,37000,0.2027027027027027,2,3,1,0,2,17,High,Personal/Lifestyle
L1799,47,Male,Firefighter,98000,26000,Home,755,2,Financing a major upgrade to the home's exterior fencing and retaining walls.,1,Positive,0.538276731967926,1,98000,0.2653061224489796,0,0,1,1,0,5,Low,Personal/Lifestyle
L1800,32,Female,Social Worker,63000,19000,Education,702,1,Funding specialized training in substance abuse counseling.,1,Neutral,0.4882498979568481,1,63000,0.3015873015873015,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1801,61,Male,Consultant,150000,29000,Personal,810,1,"Investment in a high-yield, short-term private lending opportunity.",1,Neutral,0.5742098093032837,1,150000,0.1933333333333333,1,0,0,1,2,6,Medium,Business/Investment
L1802,37,Female,Chef,72000,21000,Business,740,2,Need funds to purchase commercial kitchen ventilation upgrades.,1,Neutral,0.5725293159484863,1,72000,0.2916666666666667,1,1,1,1,1,10,Medium,Business/Investment
L1803,50,Male,Accountant,108000,29000,Home,788,2,Refinancing a portion of the mortgage to free up capital for investment strategies.,1,Neutral,0.5006182789802551,1,108000,0.2685185185185185,1,0,1,1,0,6,Medium,Business/Investment
L1804,25,Female,Receptionist,42000,9500,Personal,635,1,Helping my sibling cover emergency utility bill payments to prevent shutoff.,0,Positive,0.5045856833457947,1,42000,0.2261904761904762,0,3,1,1,2,16,High,Basic Needs/Survival
L1805,55,Male,Engineer,172000,64000,Education,845,1,Sponsoring my child's final year of engineering postgraduate studies.,1,Neutral,0.5261340737342834,1,172000,0.3720930232558139,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1806,30,Female,Sales Clerk,46000,11500,Medical,635,0,I need this money for essential prescription refills that I have been skipping; I cannot manage my condition without them. I feel desperate.,0,Negative,0.5328470468521118,1,46000,0.25,2,3,1,0,1,16,High,Personal/Lifestyle
L1807,41,Male,Pilot,170000,46000,Business,828,1,Acquisition of advanced flight path optimization software updates.,1,Neutral,0.486807644367218,1,170000,0.2705882352941176,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1808,68,Female,Retired,68000,10000,Personal,792,1,Covering costs for necessary home maintenance not covered by standard budget.,1,Neutral,0.5096551179885864,1,68000,0.1470588235294117,1,0,0,1,2,6,Medium,Basic Needs/Survival
L1809,22,Male,Tutor,36000,6000,Education,600,1,Purchasing specialized educational software licenses for advanced calculus tutoring.,0,Neutral,0.4997590184211731,1,36000,0.1666666666666666,1,3,0,1,1,14,High,Personal/Lifestyle
L1810,38,Female,Lawyer,145000,44000,Home,812,1,Funds needed to cover closing costs on a significant personal office renovation.,1,Neutral,0.6253162026405334,1,145000,0.3034482758620689,1,0,1,1,0,6,Medium,Personal/Lifestyle
L1811,45,Male,Driver,55000,16000,Personal,605,3,"My main work vehicle needs an immediate transmission replacement; without it, I cannot earn a living. I'm in a very difficult situation.",0,Negative,0.6469457745552063,1,55000,0.2909090909090909,2,3,1,2,2,19,High,Basic Needs/Survival
L1812,52,Female,Doctor,235000,78000,Medical,858,1,Funding the purchase of cutting-edge diagnostic ultrasound technology.,1,Neutral,0.463350385427475,1,235000,0.3319148936170212,1,0,1,1,1,7,Medium,Business/Investment
L1813,26,Male,Retail Manager,55000,19000,Business,692,2,Need capital for increased inventory volume to meet unexpected demand spike.,0,Neutral,0.6489369869232178,1,55000,0.3454545454545454,1,2,1,1,1,13,High,Basic Needs/Survival
L1814,60,Female,Accountant,112000,26000,Education,780,1,Paying off the final installment of my advanced tax specialization loan.,1,Neutral,0.5256256461143494,1,112000,0.2321428571428571,1,0,1,1,1,7,Medium,Business/Investment
L1815,33,Male,Electrician,88000,23000,Home,725,1,Financing the replacement of the main electrical wiring throughout the property.,1,Neutral,0.4816721379756927,1,88000,0.2613636363636363,1,1,1,1,0,9,Medium,Basic Needs/Survival
L1816,48,Female,Scientist,170000,48000,Business,830,1,Investment in proprietary biological sequencing optimization tools.,1,Neutral,0.4749569892883301,1,170000,0.2823529411764706,1,0,1,1,1,7,Medium,Business/Investment
L1817,21,Male,Dishwasher,26000,5500,Personal,538,0,"I have severe, unmanageable debt from a co-signed loan that went bad; I need this cash to stop the immediate pressure. I feel totally lost.",0,Very Negative,0.8274581432342529,2,26000,0.2115384615384615,1,3,1,0,2,18,High,Personal/Lifestyle
L1818,54,Female,Teacher,84000,21000,Medical,760,1,Covering costs for my spouse's specialized cardiac diagnostic testing.,1,Neutral,0.523899495601654,1,84000,0.25,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1819,36,Male,Software Developer,140000,40000,Personal,810,1,"Need liquidity to capitalize on a very timely, low-risk investment opportunity.",1,Negative,0.0026000791694968,0,140000,0.2857142857142857,2,0,1,1,2,7,Medium,Business/Investment
L1820,44,Female,Manager,120000,31000,Home,788,1,Financing a major upgrade to the home's landscaping and hardscape features.,1,Positive,0.4753544926643371,1,120000,0.2583333333333333,0,0,1,1,0,5,Low,Personal/Lifestyle
L1821,29,Male,Bartender,43000,9800,Education,630,0,"I need this money for mandatory safety certification for a union job, but I have zero savings. I feel like I can't catch a break.",0,Very Negative,0.2399855852127075,0,43000,0.227906976744186,1,3,1,0,1,13,High,Personal/Lifestyle
L1822,62,Female,Retired,80000,15000,Personal,800,1,Funding a major home technology upgrade to facilitate remote hobbies.,1,Neutral,0.5039207339286804,1,80000,0.1875,1,0,0,1,2,6,Medium,Personal/Lifestyle
L1823,35,Male,Sales Manager,100000,26000,Business,750,1,Investment in new territory expansion and associated personnel hiring.,1,Neutral,0.5379559397697449,1,100000,0.26,1,0,1,1,1,7,Medium,Business/Investment
L1824,24,Female,Clerk,35000,7500,Medical,612,0,I need this money right now for critical prescription refills; I've been rationing them and feel terrible. I'm scared.,0,Negative,0.8040876388549805,2,35000,0.2142857142857142,2,3,1,0,1,18,High,Personal/Lifestyle
L1825,49,Male,Engineer,152000,54000,Home,825,1,"Securing financing for the construction of a large, custom-built pool house.",1,Neutral,0.5270388126373291,1,152000,0.3552631578947368,1,0,1,1,0,6,Medium,Business/Investment
L1826,57,Female,HR Director,132000,36000,Education,808,1,Sponsoring advanced leadership coaching for newly promoted department heads.,1,Neutral,0.4820632338523865,1,132000,0.2727272727272727,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1827,32,Male,Truck Driver,78000,21000,Personal,688,3,Need funds to cover mandatory DOT compliance safety checks and required repairs.,0,Neutral,0.549554169178009,1,78000,0.2692307692307692,1,2,1,2,2,15,High,Basic Needs/Survival
L1828,46,Female,Nurse,95000,24000,Medical,762,1,Funding specialized training in advanced neurological assessment.,1,Neutral,0.4979325830936432,1,95000,0.2526315789473684,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1829,20,Male,Security Guard,31000,6000,Education,555,0,I need this money to pay my final course fee or I lose my scholarship. This is my last chance to graduate.,0,Very Negative,0.5956672430038452,1,31000,0.1935483870967742,1,3,0,0,1,13,High,Personal/Lifestyle
L1830,64,Female,Professor,125000,19000,Business,802,1,"Small capital infusion to host a specialized, international research symposium.",1,Neutral,0.4660070538520813,1,125000,0.152,1,0,0,1,1,5,Low,Business/Investment
L1831,39,Male,Mechanic,73000,21000,Home,710,3,Emergency repair required for the main gas line connection to the house.,0,Neutral,0.599870502948761,1,73000,0.2876712328767123,1,1,1,2,0,10,Medium,Basic Needs/Survival
L1832,47,Female,Accountant,110000,30000,Education,788,1,Financing specialized training in complex international tax treaties.,1,Neutral,0.712371289730072,2,110000,0.2727272727272727,1,0,1,1,1,9,Medium,Business/Investment
L1833,27,Male,Warehouse Associate,45000,11500,Personal,625,2,Need to pay off a high-interest line of credit that is about to max out. I'm trying to clean up my financial history.,0,Negative,0.7232028841972351,2,45000,0.2555555555555555,2,3,1,1,2,20,High,Basic Needs/Survival
L1834,51,Female,Executive,210000,60000,Home,848,1,Securing financing for the down payment on a second commercial investment property.,1,Neutral,0.5164411664009094,1,210000,0.2857142857142857,1,0,1,1,0,6,Medium,Business/Investment
L1835,34,Male,Data Entry Clerk,49000,10000,Education,655,1,Paying for a professional certification in advanced cybersecurity protocols.,0,Neutral,0.4873365461826324,1,49000,0.2040816326530612,1,2,1,1,1,13,High,Personal/Lifestyle
L1836,59,Female,Manager,128000,33000,Business,795,1,Acquisition of specialized robotics for enhanced quality assurance in manufacturing.,1,Neutral,0.4322614669799804,1,128000,0.2578125,1,0,1,1,1,7,Medium,Basic Needs/Survival
L1837,23,Male,Waiter,34000,7500,Personal,590,1,Need funds to cover moving expenses and security deposit for a family-friendly neighborhood.,0,Neutral,0.5046067833900452,1,34000,0.2205882352941176,1,3,1,1,2,17,High,Personal/Lifestyle
L1838,42,Female,Librarian,63000,17000,Medical,740,2,Covering costs for my spouse's specialized dental work.,1,Neutral,0.5465916395187378,1,63000,0.2698412698412698,1,1,1,1,1,10,Medium,Personal/Lifestyle
L1839,46,Male,Sales Director,125000,39000,Home,818,1,Financing the installation of a high-efficiency geothermal heating system.,1,Neutral,0.5213234424591064,1,125000,0.312,1,0,1,1,0,6,Medium,Basic Needs/Survival
L1840,31,Female,Nurse,80000,19000,Education,765,1,Paying for advanced leadership development workshops in hospital administration.,1,Neutral,0.5237236618995667,1,80000,0.2375,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1841,53,Male,Scientist,175000,50000,Business,832,1,Purchasing new high-capacity laboratory fume hoods.,1,Neutral,0.6308589577674866,1,175000,0.2857142857142857,1,0,1,1,1,7,Medium,Personal/Lifestyle
L1842,28,Female,Graphic Designer,74000,18000,Personal,715,2,Need funds to cover legal consultation fees regarding a minor copyright infringement.,1,Neutral,0.5911705493927002,1,74000,0.2432432432432432,1,1,1,1,2,11,High,Personal/Lifestyle
L1843,66,Male,Retired,86000,13000,Medical,820,1,Covering costs for necessary elective physical therapy sessions.,1,Neutral,0.49385666847229,1,86000,0.1511627906976744,1,0,0,1,1,5,Low,Basic Needs/Survival
L1844,37,Female,Teacher,75000,22000,Education,750,1,Funding a major research project focused on educational technology integration.,1,Neutral,0.5030227899551392,1,75000,0.2933333333333333,1,0,1,1,1,7,Medium,Business/Investment
